,agency,dest,Non-submission*,Uncorrected,Absence,Accounting Errors,Doubtful,Unreliable,Deficiency*,Failure,Unadjusted,Errors*,Unreconciled,Omissions,TOTAL
4,Office of the Ombudsman - Management Letter,Office of the Ombudsman - Management Letter/summary.txt,12,1,5,0,0,1,4,4,0,8,6,0,41
5,Department of Agrarian Reform - Management Letter,Department of Agrarian Reform - Management Letter/summary.txt,8,0,13,0,0,0,6,8,0,0,5,0,40
8,Bureau of Fisheries and Aquatic Resources - Management Letter,Bureau of Fisheries and Aquatic Resources - Management Letter/summary.txt,9,0,5,0,1,0,7,10,0,0,0,0,32
13,Philippine Fiber Industry Development Authority - Management Letter,Philippine Fiber Industry Development Authority - Management Letter/summary.txt,21,0,0,0,0,0,2,6,0,0,0,0,29
14,Department of Environment and Natural Resources,Department of Environment and Natural Resources/summary.txt,0,1,2,0,0,0,1,0,0,0,0,0,4
16,National Mapping and Resource Information Authority,National Mapping and Resource Information Authority/summary.txt,0,0,1,0,0,0,1,0,0,1,0,0,3
72,Bataan Peninsula State University,Bataan Peninsula State University/summary.txt,0,0,0,0,1,2,1,0,0,3,4,0,11
79,Philippine Merchant Marine Academy,Philippine Merchant Marine Academy/summary.txt,0,0,0,0,1,0,2,2,0,1,2,0,8
123,Davao Oriental State College of Science and Technology,Davao Oriental State College of Science and Technology/summary.txt,4,0,0,0,0,5,0,2,0,0,0,0,11
136,Philippine Center for Postharvest Development and Mechanization,Philippine Center for Postharvest Development and Mechanization/summary.txt,0,0,0,1,0,0,0,2,0,0,0,0,3
141,Commission on Elections - Management Letter,Commission on Elections - Management Letter/summary.txt,15,0,17,7,9,29,8,10,5,12,37,0,149
151,Energy Regulatory Commission - Management Letter,Energy Regulatory Commission - Management Letter/summary.txt,4,0,1,0,0,0,3,3,0,1,0,0,12
152,Environmental Management Bureau - Management Letter,Environmental Management Bureau - Management Letter/summary.txt,10,0,7,0,1,0,16,15,0,1,2,1,53
174,Department of Information and Communications Technology - Consolidated Management Letter,Department of Information and Communications Technology - Consolidated Management Letter/summary.txt,20,0,14,10,9,0,26,20,4,41,7,14,165
211,Department of Trade and Industry - Management Letter,Department of Trade and Industry - Management Letter/summary.txt,6,0,2,0,1,0,9,11,0,1,0,0,30
212,Construction Industry Authority of the Philippines - Management Letter,Construction Industry Authority of the Philippines - Management Letter/summary.txt,13,0,1,0,0,0,1,6,0,0,0,0,21
221,Commission on Population and Development - Management Letter,Commission on Population and Development - Management Letter/summary.txt,6,0,1,5,0,0,10,3,0,5,6,6,42
228,Metropolitan Manila Development Authority - Management Letter,Metropolitan Manila Development Authority - Management Letter/summary.txt,3,0,2,0,0,0,5,3,0,0,0,0,13
230,Anti-Red Tape Authority - Management Letter,Anti-Red Tape Authority - Management Letter/summary.txt,5,0,0,0,0,0,3,0,0,0,0,0,8
302,Philippine Carabao Center,Philippine Carabao Center/summary.txt,0,1,1,1,0,0,1,0,2,3,1,1,11
